feature,importance
avg_tp_R,0.1454259143507397
entry_range_pct,0.11874970705447102
min_tp_R,0.11271308108944657
max_tp_R,0.1120872013759255
stop_loss_pct,0.09732052951701849
price_usd,0.0930684241988617
volume_24h_usd,0.09060726890181216
volume_market_cap_ratio,0.08685042309888834
market_cap_usd,0.07616272399719885
number_of_targets,0.03823391820261808
side_is_short,0.014601833706036382
side_is_long,0.01417897450698333
