message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R,highest_target_hit,was_profitable,was_full_tp,was_partial_tp,was_loss,linked_update_ids,cmc_id,market_cap_usd,volume_24h_usd,price_usd,volume_market_cap_ratio,historical_data_available_under_plan
2367,2023-06-09T23:24:25,DASH,USDT,short,"[38.35, 41.0]",39.675,41.0,"[37.5, 36.5, 25.6, 34.8, 33.0, 31.0, 29.0, 27.0, 25.0]","Coin: #DASH/USDT

Short Set-Up

Leverage: 5-10x

#DASH already Breaked down the Head and shoulder pattern and looking Bearsish.

Entry: 38.35 - 41.00$(Enter Partially)

Targets: 37.50 - 36.50 - 25.60 - 34.80 - 33.00 - 31.00 - 29.00 - 27.00 - 25.00$(Short - mid term)

Stoploss: 41.00$",0.0667926906112161,0.0333963453056081,9,1.6415094339622585,2.396226415094332,10.622641509433937,3.67924528301886,5.037735849056591,6.547169811320739,8.056603773584886,9.566037735849036,11.075471698113182,,,,,,9,True,True,False,False,"[2368, 2372]",,,,,,False
2369,2023-06-09T23:52:11,OP,USDT,short,"[1.334, 1.35]",1.342,1.365,"[1.31, 1.28, 1.25, 1.22, 1.2, 1.17, 1.14]","Coin: #OP/USDT

Short Set-Up

Leverage: 5-10x

#OP already Breaked down the Descending Traingle and looking Bearish.

Entry: 1.3340 - 1.3500$(Enter Partially)

Targets: 1.3100 - 1.2800 - 1.2500 - 1.2200 - 1.2000 - 1.1700 - 1.1400$(Short Term)

Stoploss: 1.3650$",0.0119225037257824,0.0171385991058121,7,1.3913043478260936,2.6956521739130563,4.00000000000002,5.304347826086982,6.173913043478291,7.478260869565253,8.782608695652216,,,,,,,,7,True,True,False,False,"[2370, 2371, 2384, 2387, 2389, 2394, 2396, 2403, 2405, 2414, 2419, 2422, 2426, 2428, 2445, 2447, 2449, 2455, 2458, 2461]",,,,,,False
2387,2023-06-11T09:21:26,CHR,USDT,short,"[0.1185, 0.13]",0.12425,0.138,"[0.116, 0.113, 0.11, 0.107, 0.102, 0.096, 0.09, 0.082, 0.074, 0.068, 0.06]","Coin: #CHR/USDT

Short Set-Up

Leverage: 5-10x

#CHR already Breaked down the Descending Traingle and looking Bearish.

Entry: 0.1185 - 0.1300$(Enter Partially)

Targets: 0.1160 - 0.1130 - 0.1100 - 0.1070 - 0.1020 - 0.0960 - 0.0900 - 0.0820 - 0.0740 - 0.0680 - 0.0600$(Short - mid term)

Stoploss: 0.1380$",0.0925553319919517,0.1106639839034206,11,0.599999999999999,0.8181818181818171,1.0363636363636353,1.2545454545454535,1.6181818181818173,2.0545454545454525,2.490909090909089,3.0727272727272696,3.654545454545452,4.090909090909087,4.672727272727268,,,,3,True,False,True,False,"[2388, 2417]",,,,,,False
2389,2023-06-11T10:08:38,GRT,USDT,short,"[0.00953, 0.11]",0.059765,0.115,"[0.097, 0.095, 0.093, 0.089, 0.085, 0.081, 0.077, 0.07, 0.062, 0.055, 0.05]","Coin: #GRT/USDT

Short Set-Up

Leverage: 5-10x

#GRT already Breaked down the Descending Traingle and looking Bearish.

Entry: 0.00953 - 0.1100$

Targets: 0.09700 - 0.09500 - 0.09300 - 0.08900 - 0.08500 - 0.08100 - 0.07700 - 0.07000 - 0.06200 - 0.05500 - 0.05000$(Short - mid term)

Stoploss: 0.11500$",1.6810842466326446,0.9242031289216096,11,0.674119670498778,0.6379107449986421,0.6017018194985063,0.5292839684982347,0.4568661174979633,0.3844482664976917,0.3120304154974201,0.185299176246945,0.0404634742464017,0.0862677650040734,0.1767900787544128,,,,3,True,False,True,False,"[2390, 2391, 2392, 2401, 2416]",,,,,,False
2403,2023-06-12T20:57:48,WOO,USDT,short,"[0.16765, 0.172]",0.169825,0.176,"[0.164, 0.161, 0.158, 0.155, 0.15, 0.145, 0.14]","Coin: #WOO/USDT

Short Set-Up

Leverage: 5-10x

#WOO already Breaked down the Bear flag and looking Bearsish.

Entry: 0.16765 - 0.17200$(Enter Partially)

Targets: 0.16400 - 0.16100 - 0.15800 - 0.15500 - 0.15000 - 0.14500 - 0.14000$(Short Term)

Stoploss: 0.17600$",0.02561460326807,0.0363609598115706,7,0.9433198380566816,1.4291497975708534,1.9149797570850249,2.4008097165991966,3.2105263157894823,4.020242914979768,4.82995951417005,,,,,,,,4,True,False,True,False,"[2404, 2411, 2418]",,,,,,False
2405,2023-06-12T22:00:32,ALPHA,USDT,short,"[0.0986, 0.105]",0.1018,0.11,"[0.096, 0.094, 0.092, 0.09, 0.086, 0.082, 0.076, 0.072, 0.068, 0.064, 0.066]","Coin: #ALPHA/USDT

Short Set-Up

Leverage: 5-10x

#ALPHA already Breaked down the Symmetrical Triangle and looking bearish.

Entry: 0.09860 - 0.10500$(Enter Partially)

Targets: 0.09600 - 0.09400 - 0.09200 - 0.09000 - 0.08600 - 0.08200 - 0.07600 - 0.07200 - 0.06800 - 0.06400 - 0.06600$(Short - mid term)

Stoploss: 0.11000$",0.0628683693516699,0.0805500982318271,11,0.7073170731707318,0.9512195121951222,1.1951219512195128,1.4390243902439033,1.926829268292684,2.414634146341464,3.146341463414635,3.634146341463416,4.121951219512195,4.609756097560976,4.365853658536586,,,,0,False,False,False,True,"[2406, 2407]",,,,,,False
2414,2023-06-14T22:50:41,BCH,USDT,short,"[101.5, 108.0]",104.75,114.0,"[99.0, 97.0, 95.0, 93.0, 89.0, 85.0, 81.0, 78.0, 74.0, 70.0]","Coin: #BCH/USDT

Short Set-Up

Leverage: 5-10x

#BCH already Breaked down the Descending Traingle and looking Bearish.

Entry: 101.50 - 108.00$(Enter Partially)

Targets: 99.00 - 97.00 - 95.00 - 93.00 - 89.00 - 85.00 - 81.00 - 78.00 - 74.00 - 70.00$(Short - mid term)

Stoploss: 114.00$",0.0620525059665871,0.0883054892601432,10,0.6216216216216216,0.8378378378378378,1.054054054054054,1.2702702702702702,1.7027027027027026,2.135135135135135,2.5675675675675675,2.891891891891892,3.324324324324324,3.756756756756757,,,,,0,False,False,False,True,"[2415, 2463]",,,,,,False
2419,2023-06-14T23:54:22,LINK,USDT,short,"[5.25, 5.6]",5.425,6.0,"[5.1, 4.95, 4.85, 4.75, 4.55, 4.4, 4.2, 4.0, 3.75, 3.5]","Coin: #LINK/USDT

Short Set-Up

Leverage: 5-10x

#LINK already Breaked down the rectangular zone and looking Bearish.

Entry: 5.250 - 5.600$(Enter Partially)

Targets: 5.100 - 4.950 - 4.850 - 4.750 - 4.550 - 4.400 - 4.200 - 4.000 - 3.750 - 3.500$(Short - Mid term)

Stoploss: 6.000$",0.064516129032258,0.1059907834101382,10,0.565217391304348,0.8260869565217382,1.0,1.17391304347826,1.521739130434782,1.7826086956521725,2.1304347826086945,2.4782608695652164,2.9130434782608683,3.34782608695652,,,,,1,True,False,True,False,"[2420, 2444]",,,,,,False
2422,2023-06-16T14:32:04,KAVA,USDT,short,"[0.743, 0.8]",0.7715000000000001,0.84,"[0.725, 0.71, 0.695, 0.68, 0.65, 0.62, 0.59, 0.56, 0.5, 0.44, 0.4]","Coin: #KAVA/USDT

Short Set-Up

Leverage: 5-10x

#KAVA already Breaked down the uptrend channel and looking Bearsish.

Entry: 0.7430 - 0.8000$(Enter Partially)

Targets: 0.7250 - 0.7100 - 0.6950 - 0.6800 - 0.6500 - 0.6200 - 0.5900 - 0.5600 - 0.5000 - 0.4400 - 0.4000$(Short - mid term)

Stoploss: 0.8400$",0.0738820479585224,0.0887880751782241,11,0.6788321167883237,0.8978102189781052,1.1167883211678868,1.3357664233576667,1.7737226277372298,2.211678832116793,2.649635036496356,3.0875912408759176,3.963503649635044,4.839416058394169,5.423357664233586,,,,0,False,False,False,True,[2423],,,,,,False
2428,2023-06-17T19:07:05,LINA,USDT,short,"[0.0147, 0.014]",0.01435,0.0136,"[0.015, 0.0154, 0.0158, 0.0162, 0.0168, 0.0176, 0.0182, 0.019]","Coin: #LINA/USDT

Long Set-Up

Leverage: 5-10x

#LINA already Breaked out the Symmetrical Triangle and looking bullish.

Entry: 0.01470 - 0.01400$(Buy Partially)

Targets: 0.01500 - 0.01540 - 0.01580 - 0.01620 - 0.01680 - 0.01760 - 0.01820 - 0.01900$(Short - mid term)

Stoploss: 0.01360$",0.0487804878048779,0.0522648083623693,8,0.8666666666666653,1.3999999999999997,1.9333333333333336,2.4666666666666632,3.2666666666666626,4.333333333333331,5.13333333333333,6.199999999999994,,,,,,,2,True,False,True,False,"[2429, 2498, 2500]",,,,,,False
2445,2023-06-19T11:43:23,MKR,USDT,short,"[692.5, 660.0]",676.25,630.0,"[710.0, 724.0, 740.0, 756.0, 780.0, 805.0, 840.0, 870.0, 920.0]","Coin: #MKR/USDT

Long Set-Up

Leverage: 5-10x

#MKR already Breaked out the Traingle and looking Bullish.

Entry: 692.5 - 660.0$(Buy Partially)

Targets: 710 - 724 - 740 - 756 - 780 - 805 - 840 - 870 - 920$(Short - mid term)

Stoploss: 630$",0.0480591497227356,0.0683918669131238,9,0.7297297297297297,1.0324324324324323,1.3783783783783785,1.7243243243243245,2.2432432432432434,2.783783783783784,3.5405405405405403,4.1891891891891895,5.27027027027027,,,,,,7,True,False,True,False,"[2446, 2454, 2470, 2522]",,,,,,False
2447,2023-06-19T11:55:24,FIL,USDT,short,"[3.665, 3.75]",3.7075,3.8,"[3.58, 3.52, 3.44, 3.38, 3.25, 3.14, 3.0]","Coin: #FIL/USDT

Short Set-Up

Leverage: 5-10x

#FIL already Breaked down the Rising wedge pattern and looking Bearish.

Entry: 3.665 - 3.750$(Enter Partially)

Targets: 3.580 - 3.520 - 3.440 - 3.380 - 3.250 - 3.140 - 3.000$(Short Term)

Stoploss: 3.800$",0.0229265003371544,0.0249494268374915,7,1.3783783783783807,2.027027027027031,2.8918918918918988,3.540540540540549,4.945945945945956,6.135135135135147,7.648648648648665,,,,,,,,1,True,False,True,False,"[2448, 2453, 2527]",,,,,,False
