message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R,highest_target_hit,was_profitable,was_full_tp,was_partial_tp,was_loss,had_unresolved_profit_signal,linked_update_ids
540,2022-04-30T20:52:44,SHIB,USDT,short,"[0.0214, 0.023]",0.022199999999999998,0.0245,"[0.0212, 0.0208, 0.0206, 0.0204, 0.0196, 0.019, 0.0184, 0.0178, 0.0165, 0.015, 0.0135, 0.012]","COIN NAME: #SHIB/USDT

SHORT SET-UP

LEVERAGE: 5-10X

It is already Breaked down the symmetrical Traingle and looking Bearish.

Entry: 0.0214 - 0.0230$(Buy partially)

Target: 0.0212 - 0.0208 - 0.0206 - 0.0204 - 0.0196 - 0.0190 - 0.0184 - 0.0178$(Short-mid term)

Long term: 0.0165 - 0.0150 - 0.0135 - 0.0120$

Stoploss: 0.0245$",0.07207207207207211,0.10360360360360377,12,0.4347826086956504,0.6086956521739114,0.6956521739130412,0.7826086956521711,1.1304347826086931,1.391304347826084,1.652173913043475,1.9130434782608656,2.4782608695652124,3.13043478260869,3.782608695652167,4.434782608695644,,,12,True,True,False,False,True,"[542, 571, 575, 578, 623, 624, 635, 636, 641]"
552,2022-05-03T10:17:58,ICP,USDT,long,"[13.4, 12.0]",12.7,11.0,"[13.6, 13.8, 14.05, 14.3, 14.8, 15.2, 15.7, 16.4, 18.5, 23.0, 30.0, 38.0]","COIN NAME: ICP/USDT

LONG SET-UP

LEVERAGE: 5-10X

Entry: 13.40 - 12.00$(Buy partially)

Target: 13.60 - 13.80 - 14.05 - 14.30 - 14.80 - 15.20 - 15.70 - 16.40$

Long term: 18.50 - 23.00 - 30.00 - 38.00$

Stoploss: 11.00$(If daily candle closes below there)",0.11023622047244098,0.1338582677165354,12,0.5294117647058828,0.6470588235294129,0.7941176470588247,0.9411764705882365,1.2352941176470602,1.4705882352941182,1.764705882352942,2.176470588235295,3.4117647058823546,6.058823529411768,10.176470588235299,14.882352941176478,,,3,True,False,True,False,True,"[553, 554, 559, 619, 620]"
721,2022-07-06T13:37:20,AR,USDT,long,"[11.7, 10.0]",10.85,9.0,"[12.0, 12.3, 12.6, 12.9, 13.4, 14.0, 14.6, 15.2, 16.0]","COIN NAME: #AR/USDT

LONG SET-UP

LEVERAGE: 5-10X

#AR Already Breaked out the ascending traingle on 4hr time frame. So after successful retest we expect a bullish move on #AR. So buy some #AR in our given zone and hold it for good profit.

Entry: 11.7 - 10.00$(Buy partially)

Target: 12.00 - 12.30 - 12.60 - 12.90 - 13.40 - 14.00 - 14.60 - 15.20 - 16.00$(Short -mid term)

Stoploss: 9.00$",0.15668202764976952,0.1705069124423963,9,0.6216216216216219,0.7837837837837845,0.9459459459459462,1.1081081081081088,1.378378378378379,1.7027027027027033,2.027027027027027,2.3513513513513518,2.7837837837837847,,,,,,9,True,True,False,False,True,"[722, 723, 724, 725, 726, 727, 728, 729, 730, 731, 732, 734, 735, 736, 737, 738, 739, 741, 742, 743, 744, 745, 746, 747, 748, 749, 750, 751, 752, 755, 756, 757, 758, 759, 760, 761, 762, 763, 764, 765, 766, 767, 768, 769, 770, 771, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782, 783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 794, 796, 797, 798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810, 811, 812, 814, 816, 817, 818, 819, 820, 821, 823, 824, 825, 826, 827, 828, 830, 832, 833, 834, 835, 836, 837, 838, 840, 841, 842, 843]"
734,2022-07-10T12:33:05,UNI,USDT,long,"[6.2, 5.6]",5.9,5.0,"[6.35, 6.5, 6.65, 6.8, 7.1, 7.4, 7.8, 8.2, 8.8, 9.5]","COIN NAME: #UNI/USDT

LONG SET-UP

LEVERAGE: 5-10X

#UNI already Breaked out the inverse Head and shoulder pattern and looking bullish after successful retest. So buy some #UNI in our buy zone and hold it for good profit.

Entry: 6.20 - 5.60$(Buy partially)

Target: 6.35 - 6.50 - 6.65 - 6.80 - 7.10 - 7.40 - 7.80 - 8.20 - 8.80 - 9.50$(Short-mid term)

Stoploss: 5.00$",0.10169491525423738,0.15254237288135597,10,0.499999999999999,0.666666666666666,0.833333333333333,0.999999999999999,1.333333333333332,1.666666666666666,2.11111111111111,2.5555555555555536,3.2222222222222214,3.9999999999999982,,,,,10,True,True,False,False,True,"[735, 747, 760, 796, 799, 800, 803]"
774,2022-07-19T11:40:47,ETH,USDT,long,"[1532.0, 1400.0]",1466.0,1178.0,"[1600.0, 1700.0, 1800.0, 1900.0, 2000.0, 3000.0, 5000.0]","COIN NAME: #ETH/USDT

LONG SET-UP

LEVERAGE: 5-15X

#ETH Filled all the liquidity below $1000 is now ready to blast towards $2000 zones but as market is volatile averaging out will be the best possible option for now 
Entry: 1532-1400$(Buy partially)

Target: 1600-1700-1800-1900-2000-3000-5000 (Short-mid term)

Stoploss: $1178",0.09004092769440655,0.19645293315143247,7,0.4652777777777778,0.8125,1.1597222222222223,1.5069444444444444,1.8541666666666667,5.326388888888889,12.270833333333334,,,,,,,,1,True,False,True,False,True,"[777, 785, 791, 816, 818, 867, 893]"
788,2022-07-24T20:21:33,XLM,USDT,long,"[0.113, 0.104]",0.1085,0.096,"[0.116, 0.118, 0.12, 0.123, 0.127, 0.13, 0.134, 0.142, 0.15]","COIN NAME: #XLM/USDT

LONG SET-UP

LEVERAGE: 5-10X

#XLM already break out the Falling Wedge pattern on daily time frame and now heading Upside after successful retest. So we will expect more bullish momentum on it.

Entry: 0.113 - 0.104$(Buy partially)

Target: 0.116 - 0.118 - 0.120 - 0.123 - 0.127 - 0.130 - 0.134 - 0.142 - 0.150$(Short-mid term)

Stoploss: 0.0960$",0.08294930875576044,0.11520737327188937,9,0.6000000000000006,0.7599999999999998,0.9199999999999999,1.1600000000000001,1.4800000000000004,1.7200000000000009,2.0400000000000014,2.6799999999999997,3.3200000000000003,,,,,,7,True,False,True,False,True,"[795, 802, 811, 851, 853]"
908,2022-08-20T20:49:00,ENJ,USDT,short,"[0.56, 0.62]",0.5900000000000001,0.62,"[0.55, 0.538, 0.526, 0.515, 0.495, 0.475, 0.455, 0.435, 0.4]","COIN: #ENJ/USDT

SHORT SET-UP

LEV: 5-10X

#ENJ already Breaked down the Uptrend channel and looking Bearish.

Entry: 0.560 - 0.620$(Enter partially)

Target: 0.550 - 0.538 - 0.526 - 0.515 - 0.495 - 0.475 - 0.455 - 0.435 - 0.400$(Short -mid term)

Stoploss: 0.620$",0.10169491525423717,0.050847457627118495,9,1.3333333333333384,1.7333333333333398,2.1333333333333413,2.5000000000000093,3.1666666666666785,3.8333333333333477,4.500000000000015,5.166666666666684,6.3333333333333535,,,,,,9,True,True,False,False,True,"[909, 910, 911, 912, 914, 917, 919, 923, 925, 928, 929, 930, 931, 934, 935, 936, 937, 938, 939, 951, 957, 958, 959, 961, 962, 963, 964, 965, 966, 974, 975, 976, 980, 981, 982, 990, 991, 994, 995, 996, 1004, 1006, 1014, 1019, 1020, 1025, 1026]"
926,2022-08-27T11:41:18,NEAR,USDT,short,"[3.93, 4.2]",4.065,4.5,"[3.85, 3.75, 3.65, 3.55, 3.4, 3.2, 3.1, 3.0]","COIN: #NEAR/USDT

SHORT SET-UP

LEVERAGE: 5-10X

#NEAR already Breaked down the neckline of the Head and shoulder pattern and looking Bearish.

Entry: 3.93 - 4.20$(Enter partially)

Target: 3.85 - 3.75 - 3.65 - 3.55 - 3.40 - 3.20 - 3.10 - 3.00$(Short term)

Stoploss: 4.50$",0.06642066420664207,0.107011070110701,8,0.4942528735632195,0.7241379310344843,0.9540229885057491,1.183908045977014,1.5287356321839105,1.9885057471264391,2.218390804597704,2.4482758620689684,,,,,,,2,True,False,True,False,True,"[927, 935, 936, 940, 943, 945, 946, 952, 953, 965, 966, 967, 968, 971, 972, 974, 975, 978, 980, 983, 984, 985, 986, 994, 1000, 1001, 1003, 1021, 1023, 1028, 1029, 1030, 1036, 1039, 1040, 1041, 1042, 1044, 1046]"
1132,2022-10-26T17:53:14,ONE,USDT,long,"[0.0179, 0.017]",0.01745,0.0165,"[0.0182, 0.0186, 0.019, 0.0194, 0.0202, 0.021, 0.022]","Coin: #ONE/USDT

Long Set-up

Lev: 5-10x

#ONE already Breaked the Falling Wedge pattern and looking bullish. 

Entry: 0.01790 - 0.01700$(Buy partially)

Target: 0.01820 - 0.01860 - 0.01900 - 0.01940 - 0.02020 - 0.02100 - 0.02200$(Short term)

Stoploss: 0.01650$",0.051575931232091574,0.05444126074498564,7,0.7894736842105274,1.2105263157894726,1.6315789473684212,2.05263157894737,2.8947368421052637,3.736842105263161,4.789473684210527,,,,,,,,7,True,True,False,False,True,"[1133, 1134, 1135, 1136, 1137, 1138, 1140, 1141, 1143, 1144, 1148, 1151, 1152, 1153, 1157, 1158, 1161, 1164, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1177, 1178, 1179, 1180, 1181, 1182, 1183, 1184, 1186, 1187, 1190, 1192, 1193, 1196, 1197, 1198, 1199, 1200, 1201, 1202, 1203, 1204, 1208, 1209, 1212, 1213, 1214, 1217, 1218, 1219, 1222, 1223, 1224, 1238, 1239, 1241, 1242, 1244, 1250]"
1225,2022-11-10T12:24:55,ETH,USDT,short,"[1190.0, 1300.0]",1245.0,1380.0,"[1150.0, 1120.0, 1090.0, 1060.0, 1000.0, 940.0, 880.0, 820.0, 760.0, 700.0]","Coin: #ETH/USDT

Short Set-up

Lev: 3-5X

#ETH breaked down the symmetrical Traingle and looking bearsish.

Entry: 1190 - 1300$(Enter partially)

Target: 1150 - 1120 - 1090 - 1060 - 1000 - 940 - 880 - 820 - 760 - 700$(Short-mid term)

Stoploss: 1380$",0.08835341365461848,0.10843373493975904,10,0.7037037037037037,0.9259259259259259,1.1481481481481481,1.3703703703703705,1.8148148148148149,2.259259259259259,2.7037037037037037,3.1481481481481484,3.5925925925925926,4.037037037037037,,,,,3,True,False,True,False,True,"[1226, 1228, 1230, 1240, 1276, 1284, 1293, 1312, 1330, 1341]"
