market_cap_usd,volume_24h_usd,price_usd,volume_market_cap_ratio,stop_loss_pct,entry_range_pct,number_of_targets,avg_tp_R,max_tp_R,min_tp_R,side_is_long,side_is_short,was_profitable,predicted_profitable,predicted_profitable_probability
255139261258.4276,24421558732.2764,2113.970762572676,0.09571854449927283,0.007368274711525,0.0036146253301821,5,9.18867924528302,15.226415094339623,3.150943396226415,1,0,1,0,0.4608524386848639
4224827435.1856112,94707364.41078965,0.09756336295135556,0.02241685982770296,0.05,0.0333333333333333,8,3.7499999999999973,7.999999999999993,1.0,1,0,1,1,0.7512925976642393
143762.46052760532,934.35303514,1.4381069087985133e-05,0.0064992838305002795,0.0407239819004525,0.0271493212669683,5,2.377777777777772,3.888888888888882,0.999999999999996,1,0,1,1,0.8066474054794907
1773295782.4894564,392060630.06651545,115.33973732568921,0.22109150314231155,0.0858995137763371,0.0745542949756888,8,2.207547169811321,4.09433962264151,0.7735849056603774,0,1,1,1,0.9440171875022173
40849761.67604994,8606626.07096435,0.23570722206193673,0.21068974989908892,0.0647482014388488,0.0431654676258991,7,2.1904761904761947,4.333333333333342,0.6666666666666683,0,1,1,1,0.9396129969278998
24973953.600438435,799442.48619342,0.2801240134938327,0.032011050352051,0.0622710622710622,0.0366300366300365,7,2.3949579831932786,4.529411764705884,0.6470588235294114,1,0,1,1,0.8948469987702052
23555321.65587597,3895816.16693925,0.003321179187622515,0.1653900644556651,0.1232449297971917,0.0592823712948518,7,1.4954792043399663,2.797468354430384,0.5189873417721533,0,1,1,1,0.889629979288429
4224827435.1856112,94707364.41078965,0.09756336295135556,0.02241685982770296,0.0535714285714284,0.0357142857142855,7,2.5238095238095326,4.666666666666682,0.9333333333333368,0,1,0,0,0.24717611353620564
124261413.35260619,6435161.47528165,4.212261935027507,0.051787286991667576,0.0611643330876935,0.0338983050847457,6,2.3734939759036098,4.3012048192771015,0.9277108433734912,0,1,1,1,0.7295637431703981
87597853154.69214,2869651160.0454836,1.4306868240110204,0.03275937773244129,0.1,0.08,8,1.9549999999999998,3.6,0.7200000000000006,1,0,1,1,0.8552985576380981
24973953.600438435,799442.48619342,0.2801240134938327,0.032011050352051,0.0461538461538461,0.0307692307692307,6,2.6666666666666634,4.9999999999999964,1.0,1,0,1,1,0.8507769031510296
89757851.613301,19529675.31123525,0.10579704767634909,0.21758180437934183,0.0571715145436309,0.0341023069207623,6,2.111111111111109,3.561403508771926,0.7543859649122807,1,0,1,1,0.9652268183404764
4269244653.5110803,283152376.7225906,55.48432545930474,0.06632376443681262,0.0862068965517241,0.0689655172413793,7,1.9142857142857144,3.4,0.8,1,0,1,1,0.89450342844144
157286917.81352884,31024742.23335687,0.4479554683197738,0.19724934956216883,0.0573770491803278,0.0327868852459016,6,1.9761904761904754,3.523809523809525,0.6666666666666653,1,0,1,1,0.9493116566063992
91026205282.6699,1825318140.3283854,667.5524023786888,0.0200526665333362,0.0311820159535895,0.0159535895576504,6,2.8604651162790695,5.1395348837209305,0.9534883720930232,1,0,0,1,0.5053895492974086
74810529.60220042,8527760.20989978,0.0901505451021554,0.11399144285230338,0.0277185501066097,0.0213219616204692,6,4.333333333333341,8.538461538461547,1.4615384615384657,1,0,0,1,0.6437219412765917
1453004156.7431738,115148463.09040907,2.644434638584937,0.0792485434787109,0.0622477161674102,0.0395156150414276,8,2.2636518771331042,4.119453924914673,0.7064846416382244,0,1,1,1,0.9785824020867547
18349083.440922134,26607834.76785304,0.018400335100825418,1.450090673657968,0.0790697674418605,0.0465116279069767,8,1.985294117647057,3.8235294117647034,0.6470588235294118,0,1,1,1,0.893751690835638
82896331.48976384,5409798.82173676,4.633510847859301,0.06525980974688572,0.0198198198198198,0.0108108108108107,6,4.878787878787873,9.545454545454533,1.545454545454546,1,0,1,1,0.7552094482490284
312202389.02895844,49845437.1252858,3.1229315575427647,0.15965744938826323,0.0161596958174904,0.0133079847908745,6,6.058823529411772,11.647058823529418,1.6470588235294192,1,0,0,0,0.18786083635474177
778297280.6620554,11975750.37136677,64.46733795283683,0.015387115783289962,0.0513112884834663,0.0296465222348916,6,2.3777777777777778,4.511111111111111,0.7777777777777778,1,0,1,1,0.7100363490743645
6639374480.423059,74176926.27156787,359.92121178097494,0.011172276317639087,0.0464081373172281,0.0292434837889383,7,3.08349641226354,5.849315068493158,0.9178082191780842,1,0,0,0,0.3133798317731751
106344951.5246215,11537422.02486486,0.0017000728271584567,0.10849054759495244,0.1353711790393012,0.0960698689956332,6,1.279569892473119,2.2258064516129044,0.5483870967741938,0,1,1,1,0.7121611209338495
558564.8267192412,187740.60758613,0.0003199855389963408,0.3361124772013196,0.0876803551609323,0.0421753607103218,7,1.4954792043399638,2.79746835443038,0.5189873417721519,0,1,1,1,0.8685910011867205
731651687.8193028,88364471.76137501,0.9226538359723642,0.1207739601131058,0.0363482671174978,0.0219780219780221,5,2.4418604651162807,4.581395348837214,0.8604651162790685,1,0,0,0,0.24104116465100134
237261030.67859674,20984562.58441656,6.1997101684236275,0.08844504520779516,0.0371819960861055,0.0273972602739725,6,3.0526315789473855,5.736842105263187,1.0000000000000075,1,0,1,1,0.8358349029341414
10579562.5656796,2876449.02438836,0.15261939525441376,0.2718873305517982,0.0312499999999999,0.0208333333333333,6,3.500000000000012,6.333333333333349,1.3333333333333384,1,0,0,0,0.36131389549495285
51153696435.8756,4798827426.911864,89.54901083310344,0.09381193855516382,0.029271953965474,0.0185138854140604,6,3.4444444444444486,6.179487179487187,1.051282051282053,1,0,1,1,0.8121221518048544
51153696435.8756,4798827426.911864,89.54901083310344,0.09381193855516382,0.0755813953488372,0.0465116279069767,8,2.1634615384615383,4.0,0.6923076923076923,0,1,1,1,0.9625473968946706
2536900019.3082,123696261.49447244,1.515531757125091,0.048758823979276805,0.1129032258064515,0.0645161290322581,8,1.8236607142857157,3.6428571428571455,0.5178571428571432,1,0,1,1,0.8354824561784155
124261413.35260619,6435161.47528165,4.212261935027507,0.051787286991667576,0.0924805531547104,0.0639585133967156,8,2.049065420560747,4.140186915887849,0.5887850467289709,1,0,0,0,0.4459248009694579
63940777.40963399,7118624.57817814,0.05904875106334503,0.11133152999646785,0.0945865556216537,0.0464009518143962,8,1.7610062893081762,3.0251572327044025,0.6352201257861633,0,1,1,1,0.9706218641606502
36234940.86039779,3277043.98946851,0.0024362833857121333,0.09043878399288587,0.0962658444672833,0.0554984583761562,9,2.242388295769079,4.693950177935943,0.5658362989323847,0,1,1,1,0.8920161434477264
5447512252.107207,105571631.65924494,0.16505494395127365,0.019379787832217856,0.0320284697508895,0.0213523131672596,6,3.0000000000000178,5.666666666666699,1.0000000000000062,0,1,1,1,0.7531910127050363
4224827435.1856112,94707364.41078965,0.09756336295135556,0.02241685982770296,0.0543735224586287,0.033096926713948,7,2.850931677018639,5.956521739130447,0.7391304347826105,1,0,1,1,0.785589308366971
1724786512.9853034,342491283.90110344,1.3369860683367831,0.19857024699729997,0.0365190365190365,0.0233100233100232,7,3.5835866261398097,6.659574468085095,1.0425531914893569,1,0,0,0,0.3613620457269816
40849761.67604994,8606626.07096435,0.23570722206193673,0.21068974989908892,0.0324955305500051,0.0229256493847933,8,4.865695792880271,9.67961165048546,1.2653721682847934,1,0,1,1,0.567753523100888
12695710.931385456,6794026.85299816,0.034532611745756475,0.5351434740218004,0.0458715596330275,0.018348623853211,8,3.699999999999995,7.799999999999991,0.7999999999999956,1,0,1,1,0.7730613635234145
35065194.69605247,65885409.86827244,0.01126990838467097,1.8789403692000493,0.0373906125696102,0.0270485282418457,7,3.498480243161087,6.446808510638284,1.1276595744680826,1,0,0,0,0.378048235123667
